"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Funding Details","Funding Texts","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Kumar R.S.; Saravanan S.; Pandiyan P.; Tiwari R.","Kumar, R. Senthil (57210985353); Saravanan, S. (56461566000); Pandiyan, P. (56192952900); Tiwari, Ramji (57189686261)","57210985353; 56461566000; 56192952900; 57189686261","Impact of artificial intelligence techniques in distributed smart grid monitoring system","2022","Smart Energy and Electric Power Systems: Current Trends and New Intelligent Perspectives","","","","79","104","25","1","10.1016/B978-0-323-91664-6.00005-X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142582336&doi=10.1016%2fB978-0-323-91664-6.00005-X&partnerID=40&md5=a88e611a9b0b997655a61588e36dc804","Department of Electrical and Electronics Engineering, Sri Krishna College of Technology, Tamil Nadu, Coimbatore, India; Department of Electrical and Electronics Engineering, KPR Institute of Engineering and Technology, Tamil Nadu, Coimbatore, India; Department of Electrical and Electronics Engineering, Sri Krishna College of Engineering and Technology, Tamil Nadu, Coimbatore, India","Kumar R.S., Department of Electrical and Electronics Engineering, Sri Krishna College of Technology, Tamil Nadu, Coimbatore, India; Saravanan S., Department of Electrical and Electronics Engineering, Sri Krishna College of Technology, Tamil Nadu, Coimbatore, India; Pandiyan P., Department of Electrical and Electronics Engineering, KPR Institute of Engineering and Technology, Tamil Nadu, Coimbatore, India; Tiwari R., Department of Electrical and Electronics Engineering, Sri Krishna College of Engineering and Technology, Tamil Nadu, Coimbatore, India","The global power sector is undergoing a disruptive evolution due to the incorporation of numerous distributed elements, communication framework, distributed energy supplies, electric vehicles, and advanced metering infrastructure for enlightening reliability, management, and protection of the future power system. These elements are closely interlinked with the Internet of things. They will produce a huge quantity of information to support smart grid (SG) applications, including grid health monitoring, fault prediction, generation forecasting, distributed energy management, and home energy management. Artificial intelligence (AI) approaches are preferred to simplify and enhance the distributed SG’s (DSG) performance. This chapter proposes a comparative analysis of various AI strategies for supporting different applications in a DSG system. The authors also discuss AI techniques to enhance smart energy storage system, renewable energy integration, and energy security. Finally, the application of AI and market deregulation will improve the total social welfare of the grid discussed in this chapter. © 2023 Elsevier Inc. All rights reserved.","artificial intelligence; Electricity market deregulation; energy storage system; Internet of Things; smart grid: monitoring system","","","","","","Elsevier","","978-032391664-6; 978-032391685-1","","","English","Smart Energy and Electric Power Systems: Current Trends and New Intell. Perspectives","Book chapter","Final","","Scopus","2-s2.0-85142582336"
"Shah K.U.; Awojobi M.; Soomauroo Z.","Shah, Kalim U. (23096358800); Awojobi, Mohammed (57452085100); Soomauroo, Zakia (57215575077)","23096358800; 57452085100; 57215575077","Electric vehicle adoption in small island economies: Review from a technology transition perspective","2022","Wiley Interdisciplinary Reviews: Energy and Environment","11","4","e432","","","","4","10.1002/wene.432","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124604270&doi=10.1002%2fwene.432&partnerID=40&md5=e2ff90dea7e643296b1bc31b97a70f45","Biden School of Public Policy and Administration, University of Delaware, Newark, DE, United States; Sustainability Economics of Human Settlements, Technical University Berlin, Berlin, Germany","Shah K.U., Biden School of Public Policy and Administration, University of Delaware, Newark, DE, United States; Awojobi M., Biden School of Public Policy and Administration, University of Delaware, Newark, DE, United States; Soomauroo Z., Sustainability Economics of Human Settlements, Technical University Berlin, Berlin, Germany","Small Island States present features, such as compact road networks, low commuter distances, and often large tourism service sectors, that could make the adoption of electric vehicles for transportation which is an attractive way to reduce their costly dependence on imported fossil fuel and their greenhouse gas emissions. Through the transition theory lens, we review the national policy measures and broad clean transportation targets that small island countries are implementing to encourage electric mobility deployment. From information compiled for 18 small island countries, we find a growing trend in electric vehicle and infrastructure development incentives among broader clean transportation transformation policies and nationally determined contribution targets; and large country-to-country variations in enabling conditions to smoothen EV transition. Small island countries are not uniform but instead are very dispersed across the transition S-curve. The review, therefore, finds that the mobility transition requires island-specific approaches and solutions that will accentuate critical policy and management elements for fostering transitions. This article is categorized under: Policy and Economics > Energy Transitions Sustainable Development > Sustainable Development Goals. © 2022 Wiley Periodicals LLC.","electric vehicles; energy security; energy transition; small islands; sustainable development; transportation","Economics; Electric vehicles; Energy policy; Fossil fuels; Gas emissions; Greenhouse gases; Planning; Sustainable development; Energy transitions; Greenhouse gas emissions; Island state; Road network; Service sectors; Small island; Sustainable development; Technology transition; Tourism services; Transition theories; Energy security","","","K.U. Shah; Biden School of Public Policy and Administration, University of Delaware, Newark, United States; email: kalshah@udel.edu","","John Wiley and Sons Ltd","20418396","","","","English","Wiley Interdiscip. Rev. Energy Environ.","Review","Final","","Scopus","2-s2.0-85124604270"
"Rajendran A.; Hari Kumar R.","Rajendran, Aneesh (57549158100); Hari Kumar, R. (37080842500)","57549158100; 37080842500","Optimal Placement of Electric Vehicle Charging Stations in Utility Grid - A Case Study of Kerala State Highway Network","2022","PESGRE 2022 - IEEE International Conference on ""Power Electronics, Smart Grid, and Renewable Energy""","","","","","","","0","10.1109/PESGRE52268.2022.9715934","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127031700&doi=10.1109%2fPESGRE52268.2022.9715934&partnerID=40&md5=e9f79743612d5ca7c6bbe0a384dce100","Dept. of Electrical Engineering, College of Engineering Trivandrum, Energy Management Centre, Dept. of Power Kerala, India; Dept. of Electrical Engineering, College of Engineering Trivandrum, Kerala, India","Rajendran A., Dept. of Electrical Engineering, College of Engineering Trivandrum, Energy Management Centre, Dept. of Power Kerala, India, Dept. of Electrical Engineering, College of Engineering Trivandrum, Kerala, India; Hari Kumar R., Dept. of Electrical Engineering, College of Engineering Trivandrum, Energy Management Centre, Dept. of Power Kerala, India, Dept. of Electrical Engineering, College of Engineering Trivandrum, Kerala, India","The development of any nation demands consumption of more energy in its various forms. This is very closely linked with energy security and economy of that country. The highly dependence to fossil fuel extracts and their depletion in reserves has forced mankind to adopt Energy Efficiency as a sustainable alternative. Mobility plays a vital role in bringing development to a country, which itself holds a prominent share of overall energy demand. Fuel switching to electricity for mobility is reliable and convenient to users only with a highly dependent infrastructure at highway and urban road networks for charging the Electric Vehicle (EV) batteries during the daily run. The need for Electric Vehicle Charging Stations (EVCS) at key locations of a highway network ensures a reliable long trip for personal and public needs. The source of power to feed these EVCS shall be the utility grid itself which can open new challenges with respect to impact in the power system as well as transport route planning. Hence an optimal placement of EVCS to Utility grid mapped to the present transport network shall play a vital role. If not placed suitably to the utility grid, these highly dynamic loads may result in increased losses, voltage drops and result in loss of power system reliability. The placement of EVCS at suitable locations depends on statutory norms, optimal power flow, EV range considerations, and various other factors. A case study of optimal placement technique for EVCS to Kerala state highway network fed by Kerala state power system network for a stable operation of power system is discussed. © 2022 IEEE","Charging Stations; Electric Vehicles; Genetic Algorithm; Optimal Placement; Power Loss; State Highway; Transportation Network; Utility grid; Voltage drop","Charging (batteries); Electric load flow; Electric losses; Electric power transmission networks; Electric vehicles; Energy efficiency; Energy security; Fossil fuels; Proven reserves; Vehicle-to-grid; Case-studies; Charging station; Electric vehicle charging; Highway networks; Optimal placements; Powerloss; State highways; Transportation network; Utility grids; Voltage drop; Genetic algorithms","Department of Electrical Engineering; Department of Power; Energy Efficiency Services Ltd.; Kerala State Electricity Board Limited","The authors express their sincere thanks to Department of Electrical Engineering - College of Engineering Trivandrum, Energy Management Centre - Kerala (EMC), Department of Power, Govt of Kerala, Kerala State Electricity Board Limited (KSEBL) and Energy Efficiency Services Ltd. (EESL) for providing necessary support for the work.","","","Institute of Electrical and Electronics Engineers Inc.","","978-166544837-6","","","English","PESGRE - IEEE Int. Conf. ""Power Electron., Smart Grid, Renew. Energy""","Conference paper","Final","","Scopus","2-s2.0-85127031700"
"Patil M.; Majumdar B.B.","Patil, Mallikarjun (57224749419); Majumdar, Bandhan Bandhu (56414310400)","57224749419; 56414310400","An investigation on the key determinants influencing electric two-wheeler usage in urban Indian context","2022","Research in Transportation Business and Management","43","","100693","","","","7","10.1016/j.rtbm.2021.100693","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131526837&doi=10.1016%2fj.rtbm.2021.100693&partnerID=40&md5=85eaa58d271c3b9b27dcf9ef5247011b","Department of Civil Engineering, BITS Pilani Hyderabad Campus, India","Patil M., Department of Civil Engineering, BITS Pilani Hyderabad Campus, India; Majumdar B.B., Department of Civil Engineering, BITS Pilani Hyderabad Campus, India","The promotion of electric vehicles is regarded as a critical aspect of government policy to transition towards a greener mobility system to reduce the pollution load from vehicular emission and deal with the challenges associated with future energy security for the transport sector. Motorized two-wheelers (M2W) are the popular means of personal mobility, and are accounting for nearly 32% of transportation-related greenhouse gas emissions in India. In this regard, replacing existing M2W with alternative fuelled vehicles such as the Electric Two-Wheelers (E2W) could significantly minimize the negative implications associated with the usage of M2W. Therefore, this study has attempted to identify and prioritize the key E2W specific attributes to propose necessary policy-level interventions for projecting E2W as an attractive alternative. Initially, an exhaustive set of twenty-three attributes influencing E2W-usage were identified from the literature. Subsequently, experts' opinions and users' perceptions on the importance of the identified attributes were captured and analyzed using appropriate Multi-Criteria-Decision-Making (MCDM) techniques. The Analytical Hierarchy Process (AHP) was used to analyze experts' opinions. The RIDIT (Relative to an Identified Distribution and Transformation) method was used to analyze users' perceptions. Finally, both sets of results are compared and combined to derive key E2W specific attributes based on their perceived importance by experts and users. Results indicate that the following attributes, namely, purchase cost and operation cost (Economy-related), range, top speed, battery-charging duration, and acceleration (Vehicle and battery-related), health benefits and reduction in tailpipe emission (User-perceived benefit-related), and charging infrastructure, and parking infrastructure (Transport infrastructure-related) are perceived as the key attributes influencing E2W in the typical Indian context. Based on the results, it is recommended that E2W with a longer range, higher speed, and faster acceleration rate could be promoted as a sustainable alternative to conventional M2W. The provision of adequate charging and parking infrastructure was critical for E2W usage in the Indian context. © 2021 Elsevier Ltd","Electric two-wheeler; Expert-opinion; Multi-Criteria Decision Making (MCDM); Prioritization; User-perception","","","","B.B. Majumdar; Department of Civil Engineering, BITS Pilani Hyderabad Campus, India; email: bandykolkata@gmail.com","","Elsevier Ltd","22105395","","","","English","Res. Transport. Bus. Manage.","Article","Final","","Scopus","2-s2.0-85131526837"
"Lopez-Arboleda E.; Sarmiento A.T.; Cardenas L.M.","Lopez-Arboleda, Esteban (57209234122); Sarmiento, Alfonso T. (23012990900); Cardenas, Laura M. (55940661300)","57209234122; 23012990900; 55940661300","Systemic approach for integration of sustainability in evaluation of public policies for adoption of electric vehicles","2021","Systemic Practice and Action Research","34","4","","399","417","18","5","10.1007/s11213-020-09540-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090306137&doi=10.1007%2fs11213-020-09540-x&partnerID=40&md5=57d654663e851e20e72f48b7b517160b","Grupo de investigación en Sistemas Logísticos, Facultad de Ingeniería, Universidad de La Sabana, Campus del Puente del Común, Km. 7, Autopista Norte de Bogotá, Chía, Colombia; Departamento de Ingeniería Industrial, Universidad de Antioquia, Calle 67 No. 53-108, Medellín, Colombia","Lopez-Arboleda E., Grupo de investigación en Sistemas Logísticos, Facultad de Ingeniería, Universidad de La Sabana, Campus del Puente del Común, Km. 7, Autopista Norte de Bogotá, Chía, Colombia; Sarmiento A.T., Grupo de investigación en Sistemas Logísticos, Facultad de Ingeniería, Universidad de La Sabana, Campus del Puente del Común, Km. 7, Autopista Norte de Bogotá, Chía, Colombia; Cardenas L.M., Departamento de Ingeniería Industrial, Universidad de Antioquia, Calle 67 No. 53-108, Medellín, Colombia","Within sustainable transportation systems, the adoption of electric vehicles (EVs) is considered as a potential solution to problems such as energy security, climate change, urban-air quality, and public health. This EV-adoption process is a complex system that considers the relationships between the dimensions of sustainability, car-ownership transition to EVs, market dynamics, and the government. Several models have been designed to address this system. However, these models have only partially developed these relationships because they did not consider all the components or relationships between the elements of this process. This article proposes a systemic approach based on previous models, which integrates all the components and relationships and incorporates the analysis of sustainability into the EV-adoption process. The system structure of this EV-adoption process is presented and discussed. This approach deepens the understanding of the synergies between market dynamics and sustainability, allowing to model the system more broadly. It can thus help in the sustainable and integrated evaluation of different policy scenarios, thereby contributing to a clearer understanding of the dynamic behavior and leverage points of the system. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.","causal loop diagram; conceptual model; EV adoption; system structure; system thinking","","Colombian Department of Science, Technology and Innovation; Departamento Administrativo de Ciencia, Tecnología e Innovación (COLCIENCIAS), (757–2016); Universidad de La Sabana, (ING-215-2018)","This research was funded by the Colombian Department of Science, Technology and Innovation (Colciencias) under award number 757–2016 and by Universidad de La Sabana, Colombia, under Research Project No. ING-215-2018. ","A.T. Sarmiento; Grupo de investigación en Sistemas Logísticos, Facultad de Ingeniería, Universidad de La Sabana, Chía, Campus del Puente del Común, Km. 7, Autopista Norte de Bogotá, Colombia; email: alfonsosava@unisabana.edu.co","","Springer","1094429X","","","","English","Syst. Pract. Action Res.","Article","Final","","Scopus","2-s2.0-85090306137"
"Zaher G.K.; Shaaban M.F.; Mokhtar M.; Zeineldin H.H.","Zaher, G.K. (57209245171); Shaaban, M.F. (26434445500); Mokhtar, Mohamed (57197868030); Zeineldin, H.H. (8968286900)","57209245171; 26434445500; 57197868030; 8968286900","Optimal operation of battery exchange stations for electric vehicles","2021","Electric Power Systems Research","192","","106935","","","","15","10.1016/j.epsr.2020.106935","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096135450&doi=10.1016%2fj.epsr.2020.106935&partnerID=40&md5=cfb8b5ac0f220ac2e102069f80287d65","Electrical Engineering Department, American University of Sharjah, Sharjah, United Arab Emirates; Electrical and Computer Engineering Department, University of Waterloo, Waterloo, ON, N2L 3G1, Canada; Electrical Power and Machines Department, Faculty of Engineering, Ain Shams University, Cairo, Egypt; Electrical Power and Machines Department, Faculty of Engineering, Cairo University, Cairo, Egypt; Electrical Engineering and Computer Science, Khalifa University, United Arab Emirates","Zaher G.K., Electrical Engineering Department, American University of Sharjah, Sharjah, United Arab Emirates; Shaaban M.F., Electrical Engineering Department, American University of Sharjah, Sharjah, United Arab Emirates, Electrical and Computer Engineering Department, University of Waterloo, Waterloo, ON, N2L 3G1, Canada; Mokhtar M., Electrical Power and Machines Department, Faculty of Engineering, Ain Shams University, Cairo, Egypt; Zeineldin H.H., Electrical Power and Machines Department, Faculty of Engineering, Cairo University, Cairo, Egypt, Electrical Engineering and Computer Science, Khalifa University, United Arab Emirates","Due to environmental and energy security concerns, low emission vehicles present a vital necessity for clean transportation. In particular, electric vehicles (EVs) are the most promising solution due to the fact that the electrical power system is the most ready infrastructure to supply their requirement. Two possible energy delivery solutions to the EVs, namely the charging stations and the battery exchange stations (BESs) are the focus of research nowadays. In this paper, a new optimal operation approach is proposed for the BESs. The proposed new model determines the optimal charging, discharging, and exchange decisions for the battery stock throughout the day taking into consideration the customers’ arrivals, the variations in the grid price, the grid connection limitations, and the self-degradation of the batteries. The objective of the proposed approach is to maximize the BES owner profit while satisfying the EV owners’ requests. The BES operation optimization problem is formulated as mixed-integer programming (MIP) problem and is solved as a day-ahead scheme. The performance of the BES is compared to conventional EV charging stations, where the BES shows superior customer satisfaction and higher profit. © 2020 Elsevier B.V.","Battery exchange stations; Charging stations; Electric vehicles; Optimization; Smart Grid","Automotive batteries; Customer satisfaction; Electric power systems; Electric vehicles; Energy security; Integer programming; Profitability; Electric Vehicles (EVs); Electrical power system; Ev charging stations; Focus of researches; Low emission vehicles; Mixed integer programming (MIP); Operation optimization; Optimal operation; Charging (batteries)","","","M. Mokhtar; Electrical Power and Machines Department, Faculty of Engineering, Ain Shams University, Cairo, Egypt; email: m.mokhtar@eng.asu.edu.eg","","Elsevier Ltd","03787796","","EPSRD","","English","Electr Power Syst Res","Article","Final","","Scopus","2-s2.0-85096135450"
"Ravipati S.; Venkatesan M.; Srinivasa Rao Y.","Ravipati, Srikanth (57216361832); Venkatesan, M. (57197535034); Srinivasa Rao, Y. (57205201081)","57216361832; 57197535034; 57205201081","Comparison of Sensor-Controlled Hybrid Electric Vehicle Controlled by PID-P&O MPPT and PID-INC MPPT","2023","Lecture Notes in Mechanical Engineering","","","","601","611","10","0","10.1007/978-981-19-3053-9_46","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140467691&doi=10.1007%2f978-981-19-3053-9_46&partnerID=40&md5=1e807db2453757823c23c1210517b8d1","Department of Electrical and Electronics Engineering, Vignan’s Foundation for Science, Technology and Research, Andhra Pradesh, Guntur, India; Department of Electrical and Electronics Engineering, Vignan’s Lara Institute of Technology and Science, Andhra Pradesh, Guntur, India","Ravipati S., Department of Electrical and Electronics Engineering, Vignan’s Foundation for Science, Technology and Research, Andhra Pradesh, Guntur, India; Venkatesan M., Department of Electrical and Electronics Engineering, Vignan’s Lara Institute of Technology and Science, Andhra Pradesh, Guntur, India; Srinivasa Rao Y., Department of Electrical and Electronics Engineering, Vignan’s Foundation for Science, Technology and Research, Andhra Pradesh, Guntur, India","The growth in the automobile industry has been rising due to the improvements in the design with the employment of renewable energy resources and energy storage devices. This manuscript provides a novel solar fuel cell-based hybrid electric vehicle with maximum power point tracking system. Also two tracking algorithms named as perturb and observe method and incremental conductance have been analyzed with the combination of proportional + integral + derivative controller. The proposed vehicle has been controlled with the sensors generating hall signals and speed form the vehicle. The advantage of integrating renewable energy sources is reduces the climatic changes, scattered energy production and superior energy security. It concludes with the comparison of performance of two proposed trackers for the proposed electric vehicle using MATLAB Simulink software. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Hybrid electric vehicle; Incremental conductance technique; Perturb and observe MPPT; Solar fuel hybrid system","Automotive industry; Energy policy; Energy security; Fuel cells; Hybrid systems; Hybrid vehicles; Renewable energy resources; Tracking (position); Two term control systems; Cell-based; Conductance techniques; Incremental conductance technique; Maximum Power Point Tracking; Perturb and observe; Perturb and observe MPPT; Solar fuel hybrid system; Solar fuels; Tracking algorithm; Tracking system; MATLAB","","","M. Venkatesan; Department of Electrical and Electronics Engineering, Vignan’s Lara Institute of Technology and Science, Guntur, Andhra Pradesh, India; email: venkatesangct@gmail.com","Natarajan E.; Vinodh S.; Rajkumar V.","Springer Science and Business Media Deutschland GmbH","21954356","978-981193052-2","","","English","Lect. Notes Mech. Eng.","Conference paper","Final","","Scopus","2-s2.0-85140467691"
"Malka L.; Bidaj F.; Kuriqi A.; Jaku A.; Roçi R.; Gebremedhin A.","Malka, Lorenc (57218903229); Bidaj, Flamur (57191859468); Kuriqi, Alban (57039070300); Jaku, Aldona (57993694200); Roçi, Rexhina (57992546900); Gebremedhin, Alemayehu (6604077191)","57218903229; 57191859468; 57039070300; 57993694200; 57992546900; 6604077191","Energy system analysis with a focus on future energy demand projections: The case of Norway","2023","Energy","272","","127107","","","","1","10.1016/j.energy.2023.127107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150770752&doi=10.1016%2fj.energy.2023.127107&partnerID=40&md5=a49577d76602f3ece9ba6a5cad684a73","Department of Energy Polytechnic University of Tirana, Sheshi “Nene Tereza,” nr. 4, Tirane, Albania; CERIS, Instituto Superior Técnico, Universidade de Lisboa, Av. RoviscoPais 1, Lisbon, 1049-001, Portugal; Civil Engineering Department, University for Business and Technology, Kosovo, Pristina, 10000; Department of Manufacturing and Civil Engineering, Norwegian University of Science and Technology in Gjøvik, Gjøvik, NO-2802, Norway","Malka L., Department of Energy Polytechnic University of Tirana, Sheshi “Nene Tereza,” nr. 4, Tirane, Albania; Bidaj F., Department of Energy Polytechnic University of Tirana, Sheshi “Nene Tereza,” nr. 4, Tirane, Albania; Kuriqi A., CERIS, Instituto Superior Técnico, Universidade de Lisboa, Av. RoviscoPais 1, Lisbon, 1049-001, Portugal, Civil Engineering Department, University for Business and Technology, Kosovo, Pristina, 10000; Jaku A., Department of Manufacturing and Civil Engineering, Norwegian University of Science and Technology in Gjøvik, Gjøvik, NO-2802, Norway; Roçi R., Department of Manufacturing and Civil Engineering, Norwegian University of Science and Technology in Gjøvik, Gjøvik, NO-2802, Norway; Gebremedhin A., Department of Manufacturing and Civil Engineering, Norwegian University of Science and Technology in Gjøvik, Gjøvik, NO-2802, Norway","Post Covid-19 pandemic and the Ukrainian war are significantly impacting energy systems worldwide, faltering investments and threatening to throttle the expansion of primary clean energy technologies, even in the case of a well-structured and managed energy system, such as Norway. This unprecedented crisis requires deeper analyses and well-measured actions from the main actors in Norway's energy and climate sector. Hence, providing and highlighting needed interventions and improvements in the energy system is crucial. This study analyzes demand-side energy in Norway's households, industry, transport, and “other” sectors. LEAP model, a powerful energy system analysis tool, was used to conduct the analysis based on Baseline and Mitigation scenarios. The energy demand by sector and fuel type toward 2050 is forecasted, firstly by considering a set of parameters and key assumptions that impact the security of supply and secondly on the ambitious target of Norway's government in decreasing GHG emissions by 55% in 2030 and 90–95% by the year 2050 compared to 1990 levels. The mitigation scenario aims to diversify the overall national energy system and technological changes based on large-scale renewable energy sources (RES) integration. From the perspective of climate change issues, EV's include an attractive option for deep decarbonization, including other sustainable fuel sources such as H2, biofuel mixed with diesel, the use of excess heat deriving from industry to cover households' heating demand, and integration of large-scale heat pumps driven by RES during off-peak demand is applied. Energy demand projections are uncertain, and the main goal is to show how different scenario projections up to 2050 affect the whole of Norway's energy system, leading to a combined global warming potential (GWP) of around 7.30 MtCO2 in the mitigation scenario from 56.40 MtCO2 tones released in the baseline scenario, by reaching only 77.5% reduction referring to 1990 level. This study's findings show that the net-zero ambitions by the end of 2050 are impossible without the carbon tax application and carbon capture storage (CCS), especially in the oil and gas industry. © 2023 The Authors","Energy demand; Energy policy; Energy system analysis; Energy transition; LEAP model","Norway; Biofuels; Carbon capture; Energy policy; Energy security; Gas industry; Global warming; Greenhouse gases; Renewable energy resources; Systems analysis; Energy; Energy demand projections; Energy demands; Energy systems; Energy systems analysis; Energy transitions; Future energies; Large-scales; LEAP model; Renewable energy source; alternative energy; biofuel; climate change; emission control; energy policy; environmental issue; future prospect; global warming; government; mitigation; pollution tax; Investments","Fundação para a Ciência e a Tecnologia, FCT, (UIDB/04625/2020)","Alban Kuriqi is grateful for the Foundation for Science and Technology's support through funding UIDB/04625/2020 from the research unit CERIS .","A. Kuriqi; CERIS, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, Av. RoviscoPais 1, 1049-001, Portugal; email: alban.kuriqi@tecnico.ulisboa.pt","","Elsevier Ltd","03605442","","ENEYD","","English","Energy","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85150770752"
"Graham J.D.; Rupp J.A.; Brungard E.","Graham, John D. (7404642803); Rupp, John A. (7102386057); Brungard, Eva (57298362700)","7404642803; 7102386057; 57298362700","Lithium in the green energy transition: The quest for both sustainability and security","2021","Sustainability (Switzerland)","13","20","11274","","","","16","10.3390/su132011274","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117193173&doi=10.3390%2fsu132011274&partnerID=40&md5=c34a71459cf21a65df90ac08348d9445","O’Neill School of Public and Environmental Affairs, Indiana University, Bloomington, 47404, IN, United States","Graham J.D., O’Neill School of Public and Environmental Affairs, Indiana University, Bloomington, 47404, IN, United States; Rupp J.A., O’Neill School of Public and Environmental Affairs, Indiana University, Bloomington, 47404, IN, United States; Brungard E., O’Neill School of Public and Environmental Affairs, Indiana University, Bloomington, 47404, IN, United States","Considering the quest to meet both sustainable development and energy security goals, we explore the ramifications of explosive growth in the global demand for lithium to meet the needs for batteries in plug-in electric vehicles and grid-scale energy storage. We find that heavy dependence on lithium will create energy security risks because China has a dominant position in the lithium supply chain and both Europe and North America seek to curtail reliance on China throughout their supply chains. We also find that efforts to expand lithium mining have been much less successful in Chile, the United States, and Europe than in Australia. Local communities resist licensing of new lithium mines due to a variety of environmental, social, and economic concerns. There are alternative technologies that may make lithium mining more sustainable such as direct lithium extraction, but the timing of commercialization of this process is uncertain. Progress is also being made in battery recycling and in alternative battery designs that do not use lithium. Such advances are unlikely to attenuate the global rate of growth in lithium demand prior to 2030. We conclude that tradeoffs between sustainability and energy security are real, especially in the next decade. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Battery; Energy security; EVs; LIB; Lithium; Lithium-ion; Sustainability","Australia; Chile; China; Europe; North America; United States; commercialization; explosive; lithium; mining; recycling; sustainability; sustainable development","","","E. Brungard; O’Neill School of Public and Environmental Affairs, Indiana University, Bloomington, 47404, United States; email: evabrung@iu.edu","","MDPI","20711050","","","","English","Sustainability","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85117193173"
"Tejesh B.; Charan B.S.G.; Krishna Ch.M.; Manitha P.V.","Tejesh, B. (57201583526); Charan, B. S. Ganesh (57221552666); Krishna, Ch. Murali (57803562400); Manitha, P.V. (55552819800)","57201583526; 57221552666; 57803562400; 55552819800","Development of Hybrid PV Wind system for EVs with Battery Management System","2022","2022 2nd International Conference on Advances in Electrical, Computing, Communication and Sustainable Technologies, ICAECT 2022","","","","","","","0","10.1109/ICAECT54875.2022.9808062","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134211710&doi=10.1109%2fICAECT54875.2022.9808062&partnerID=40&md5=cc78b9947a0371e019690f92f207b35c","Amrita School of Engineering, Bengaluru, Amrita Vishwa Vidyapeetham, Department of Electrical and Electronics Engineering, India","Tejesh B., Amrita School of Engineering, Bengaluru, Amrita Vishwa Vidyapeetham, Department of Electrical and Electronics Engineering, India; Charan B.S.G., Amrita School of Engineering, Bengaluru, Amrita Vishwa Vidyapeetham, Department of Electrical and Electronics Engineering, India; Krishna Ch.M., Amrita School of Engineering, Bengaluru, Amrita Vishwa Vidyapeetham, Department of Electrical and Electronics Engineering, India; Manitha P.V., Amrita School of Engineering, Bengaluru, Amrita Vishwa Vidyapeetham, Department of Electrical and Electronics Engineering, India","Reduced global oil and gas resources, as well as environmental concerns, have prompted the automotive industry to produce more fuel-efficient and cleaner vehicles in order to save money and protect the environment. In addition to concerns about energy security and greenhouse gas emissions, plug-in hybrid electric vehicles (PHEVs) are also becoming more popular due to their low cost of ownership and low power consumption. As electric vehicle battery capacity and range of EVs improve, electric vehicles may require fast charging. Photovoltaic (PV) and wind energy are proposed as energy sources in this paper.The MPPT control is used to provide maximum power tracking for PV System, as well as to transmit that maximum power to the batteries of a Hybrid Energy system via the Battery Management System (BMS). Energy produced by solar PV and wind power systems can be stored in energy storage systems and used for propulsion, and a battery management system (BMS) helps to track the battery's Temperature, Current, Voltage, and State of Charge (SOC).Basically the paper deals with the increasing the range of the Battery using Hybrid PV Wind system with Battery Management System where PV system and Wind system are integrated using Battery Management System. The main reason BMS is used is to check the State of Charge(SOC) of the battery because the battery is very costly in the EVs so, the utmost care is given to the Battery. © 2022 IEEE.","Battery Management System Solar PV Array; Hybrid System; Solar Panels; State of Charge(SOC)","Automotive industry; Charging (batteries); Energy management systems; Energy policy; Energy security; Gas emissions; Greenhouse gases; Hybrid systems; Lead acid batteries; Plug-in hybrid vehicles; Solar panels; Vehicle-to-grid; Wind power; Battery management system solar photovoltaic array; Hybrid photovoltaics; Oil and gas; Oil resource; Photovoltaic arrays; Photovoltaic systems; Solar panels; Solar photovoltaics; States of charges; Wind systems; Battery management systems","","","","","Institute of Electrical and Electronics Engineers Inc.","","978-166541120-2","","","English","Int. Conf. Adv. Electr., Comput., Commun. Sustain. Technol., ICAECT","Conference paper","Final","","Scopus","2-s2.0-85134211710"
